timestamp,phase,signal_state,green_duration,WEST,EAST,NORTH,SOUTH,CENTER,wait_W,wait_E,wait_N,wait_S,vehicles_passed,avg_wait
2026-04-08_15-16-26,EW,ALL_RED,3,0,0,3,2,2,0.00,0.00,27.57,15.43,96,5.42
2026-04-08_15-16-31,NS,GREEN,26,0,0,3,2,2,0.00,0.00,0.00,0.00,96,8.64
2026-04-08_15-17-13,NS,YELLOW,3,0,0,3,2,2,0.00,0.00,0.00,0.00,276,4.68
2026-04-08_15-17-16,NS,ALL_RED,3,0,0,3,2,2,0.00,0.00,0.00,0.00,276,4.52
2026-04-08_15-17-20,EW,GREEN,10,0,0,3,2,2,0.00,0.00,0.00,0.00,276,4.37
2026-04-08_15-17-26,EW,YELLOW,3,0,0,3,2,2,0.00,0.00,18.10,11.14,276,5.06
2026-04-08_15-17-29,EW,ALL_RED,3,0,0,3,2,2,0.00,0.00,27.36,16.84,276,6.04
2026-04-08_15-17-32,NS,GREEN,10,0,0,3,1,2,0.00,0.00,0.00,0.00,276,7.40
2026-04-08_15-17-58,NS,YELLOW,3,0,0,3,2,2,0.00,0.00,0.00,0.00,386,5.93
2026-04-08_15-18-01,NS,ALL_RED,3,0,0,3,2,2,0.00,0.00,0.00,0.00,386,5.79
2026-04-08_15-18-04,EW,GREEN,10,0,0,3,1,2,0.00,0.00,0.00,0.00,386,5.66
2026-04-08_15-19-50,NS,GREEN,10,0,0,3,1,2,0.00,0.00,0.00,0.00,0,0.00
2026-04-08_15-20-16,NS,YELLOW,3,0,0,3,1,2,0.00,0.00,0.00,0.00,84,0.00
2026-04-08_15-20-19,NS,ALL_RED,3,0,0,3,1,2,0.00,0.00,0.00,0.00,84,0.00
2026-04-08_15-20-23,EW,GREEN,10,0,0,3,1,2,0.00,0.00,0.00,0.00,84,0.00
2026-04-08_15-20-30,EW,YELLOW,3,0,0,3,1,2,0.00,0.00,20.57,6.86,84,1.53
2026-04-08_15-20-33,EW,ALL_RED,3,0,0,3,1,2,0.00,0.00,30.19,10.06,84,3.34
2026-04-08_15-20-36,NS,GREEN,10,0,0,3,1,2,0.00,0.00,0.00,0.00,84,5.61
2026-04-08_15-21-02,NS,YELLOW,3,0,0,3,1,2,0.00,0.00,0.00,0.00,176,3.49
2026-04-08_15-21-05,NS,ALL_RED,3,0,0,3,1,2,0.00,0.00,0.00,0.00,176,3.36
2026-04-08_15-21-08,EW,GREEN,10,0,0,3,1,2,0.00,0.00,0.00,0.00,176,3.22
2026-04-08_15-21-14,EW,YELLOW,3,0,0,3,1,2,0.00,0.00,18.30,6.10,176,3.85
2026-04-08_15-21-18,EW,ALL_RED,3,0,0,3,1,2,0.00,0.00,27.82,9.20,176,4.97
2026-04-08_15-21-21,NS,GREEN,10,0,0,3,1,2,0.00,0.00,0.00,0.00,176,6.50
2026-04-08_15-32-20,NS,GREEN,10,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.00
2026-04-08_15-32-30,NS,YELLOW,3,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.00
2026-04-08_15-32-57,NS,GREEN,10,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.00
2026-04-08_15-33-07,NS,YELLOW,3,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.00
2026-04-08_15-33-10,NS,ALL_RED,3,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.00
2026-04-08_15-33-14,EW,GREEN,10,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.00
2026-04-08_15-33-24,EW,YELLOW,3,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.00
2026-04-08_15-33-29,EW,ALL_RED,3,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.00
2026-04-08_15-35-49,NS,GREEN,10,0,0,2,1,2,0.00,0.00,0.00,0.00,0,0.00
2026-04-08_15-36-15,NS,YELLOW,3,0,0,2,1,2,0.00,0.00,0.00,0.00,57,0.00
2026-04-08_15-36-18,NS,ALL_RED,3,0,0,2,1,2,0.00,0.00,0.00,0.00,57,0.00
2026-04-08_15-36-21,EW,GREEN,10,0,0,2,1,2,0.00,0.00,0.00,0.00,57,0.00
2026-04-08_15-36-30,EW,YELLOW,3,0,0,2,1,2,0.00,0.00,16.93,8.46,57,1.88
2026-04-08_15-36-33,EW,ALL_RED,3,0,0,2,1,2,0.00,0.00,23.19,11.60,57,4.22
2026-04-08_15-36-36,NS,GREEN,10,0,0,2,1,2,0.00,0.00,0.00,0.00,57,7.22
2026-04-08_15-37-02,NS,YELLOW,3,0,0,2,1,2,0.00,0.00,0.00,0.00,123,4.73
2026-04-08_15-37-05,NS,ALL_RED,3,0,0,2,1,2,0.00,0.00,0.00,0.00,123,4.53
2026-04-08_15-37-08,EW,GREEN,10,0,0,2,1,2,0.00,0.00,0.00,0.00,123,4.33
2026-04-08_15-42-39,NS,GREEN,10,0,0,2,1,2,0.00,0.00,0.00,0.00,0,0.00
2026-04-08_15-43-05,NS,YELLOW,3,0,0,2,1,2,0.00,0.00,0.00,0.00,63,0.00
2026-04-08_15-43-08,NS,ALL_RED,3,0,0,2,1,2,0.00,0.00,0.00,0.00,63,0.00
2026-04-08_15-43-11,EW,GREEN,10,0,0,2,1,2,0.00,0.00,0.00,0.00,63,0.00
2026-04-08_15-43-18,EW,YELLOW,3,0,0,2,1,2,0.00,0.00,13.24,6.62,63,0.69
2026-04-08_15-43-21,EW,ALL_RED,3,0,0,2,1,2,0.00,0.00,19.59,9.79,63,2.47
2026-04-08_15-43-24,NS,GREEN,10,0,0,2,1,2,0.00,0.00,0.00,0.00,63,4.81
2026-04-08_15-43-52,NS,YELLOW,3,0,0,2,1,2,0.00,0.00,0.00,0.00,133,3.03
2026-04-08_15-43-57,NS,ALL_RED,3,0,0,2,1,2,0.00,0.00,0.00,0.00,133,2.91
