epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,2791.53,0.87963,0.64309,0.97339,0.79203,0.7421,0.80209,0.59968,0.9539,0.60239,1.12645,0.000608468,0.000608468,0.000608468
60,2838.48,0.88056,0.63821,0.97373,0.77427,0.74228,0.80837,0.60418,0.96546,0.59351,1.14707,0.000594321,0.000594321,0.000594321
61,2885.71,0.87572,0.63471,0.97417,0.80043,0.73286,0.80878,0.60474,0.96816,0.59882,1.14224,0.000580174,0.000580174,0.000580174
62,2931.88,0.87561,0.63841,0.97302,0.77494,0.75846,0.81587,0.60864,0.9535,0.59345,1.13362,0.000566027,0.000566027,0.000566027
63,2978.52,0.86236,0.63021,0.96525,0.77635,0.7659,0.81147,0.6076,0.9611,0.60263,1.14902,0.00055188,0.00055188,0.00055188
64,3026.03,0.86278,0.62624,0.96881,0.78224,0.74786,0.81047,0.61033,0.9556,0.59576,1.14332,0.000537733,0.000537733,0.000537733
65,3072.59,0.85599,0.62083,0.96905,0.78277,0.76254,0.807,0.60537,0.95835,0.59647,1.14192,0.000523586,0.000523586,0.000523586
66,3119.86,0.85619,0.61747,0.96489,0.80276,0.73429,0.80736,0.6058,0.95787,0.59915,1.13178,0.000509438,0.000509438,0.000509438
67,3167.46,0.85497,0.62044,0.9637,0.78628,0.7633,0.80639,0.60446,0.95713,0.60839,1.15184,0.000495291,0.000495291,0.000495291
68,3214.17,0.85299,0.61392,0.96467,0.77789,0.76564,0.81201,0.60746,0.96049,0.59622,1.14708,0.000481144,0.000481144,0.000481144
69,3261.57,0.84879,0.62046,0.96252,0.78448,0.76828,0.81188,0.60915,0.95295,0.59395,1.13418,0.000466997,0.000466997,0.000466997
70,3308.16,0.85427,0.61691,0.95953,0.77982,0.75013,0.81248,0.61285,0.94564,0.59541,1.12731,0.00045285,0.00045285,0.00045285
71,3355.06,0.83433,0.6014,0.95519,0.78664,0.76669,0.80832,0.60551,0.95091,0.59257,1.14717,0.000438703,0.000438703,0.000438703
72,3402,0.84887,0.61426,0.96169,0.77864,0.76156,0.81473,0.6132,0.957,0.58705,1.14605,0.000424556,0.000424556,0.000424556
73,3448.74,0.82888,0.59936,0.95251,0.78668,0.76174,0.80924,0.60886,0.94571,0.59168,1.13429,0.000410409,0.000410409,0.000410409
74,3494.82,0.84164,0.60589,0.95893,0.79365,0.7576,0.81204,0.61184,0.95962,0.59124,1.14419,0.000396262,0.000396262,0.000396262
75,3542.65,0.84049,0.6054,0.95737,0.77056,0.75902,0.81625,0.61418,0.95113,0.58805,1.13129,0.000382115,0.000382115,0.000382115
76,3589.49,0.83287,0.59933,0.95493,0.76028,0.78329,0.81187,0.61293,0.95261,0.59081,1.14563,0.000367967,0.000367967,0.000367967
77,3635.83,0.83912,0.59981,0.95758,0.7857,0.75253,0.81408,0.61676,0.94824,0.58232,1.13484,0.00035382,0.00035382,0.00035382
78,3684.13,0.83843,0.60242,0.95754,0.78953,0.75465,0.81293,0.61533,0.95049,0.58737,1.14476,0.000339673,0.000339673,0.000339673
79,3730.73,0.82945,0.59804,0.95321,0.77108,0.78097,0.81706,0.61615,0.95061,0.58229,1.14095,0.000325526,0.000325526,0.000325526
80,3777.37,0.82329,0.58979,0.95334,0.77397,0.76859,0.81178,0.61373,0.94986,0.58436,1.13676,0.000311379,0.000311379,0.000311379
81,3823.88,0.83145,0.60108,0.95967,0.76686,0.77505,0.81632,0.61602,0.94894,0.58649,1.13906,0.000297232,0.000297232,0.000297232
82,3870.81,0.82012,0.58901,0.95126,0.77298,0.77984,0.81913,0.61885,0.95183,0.58663,1.14305,0.000283085,0.000283085,0.000283085
83,3917.5,0.82156,0.58141,0.9498,0.76745,0.77842,0.81858,0.61908,0.9418,0.58173,1.13276,0.000268938,0.000268938,0.000268938
84,3964.46,0.81616,0.58287,0.95146,0.77152,0.77902,0.81487,0.61644,0.95989,0.59147,1.14117,0.000254791,0.000254791,0.000254791
85,4011.97,0.80772,0.57439,0.9447,0.78441,0.75785,0.81769,0.62128,0.94033,0.57956,1.13373,0.000240644,0.000240644,0.000240644
86,4058.15,0.82399,0.57979,0.95217,0.79311,0.76427,0.81667,0.62033,0.9365,0.58961,1.13079,0.000226497,0.000226497,0.000226497
87,4104.28,0.80381,0.56484,0.94236,0.75844,0.76061,0.81223,0.61449,0.94203,0.58486,1.13566,0.000212349,0.000212349,0.000212349
88,4151.98,0.79737,0.57084,0.93729,0.78971,0.76134,0.81735,0.62253,0.93251,0.57819,1.13151,0.000198202,0.000198202,0.000198202
89,4197.7,0.80385,0.57228,0.94585,0.77771,0.77364,0.81328,0.62007,0.93444,0.58279,1.13365,0.000184055,0.000184055,0.000184055
90,4244.24,0.80468,0.57284,0.94721,0.76928,0.78373,0.81661,0.61917,0.94071,0.58238,1.13688,0.000169908,0.000169908,0.000169908
91,4292.98,0.78422,0.54046,0.9314,0.77136,0.78271,0.81836,0.62069,0.93068,0.57404,1.13136,0.000155761,0.000155761,0.000155761
92,4338.04,0.7756,0.5348,0.93191,0.78053,0.7727,0.818,0.62154,0.9326,0.57744,1.13469,0.000141614,0.000141614,0.000141614
93,4382.93,0.76504,0.52755,0.92453,0.77611,0.77861,0.81855,0.62228,0.93304,0.56852,1.1348,0.000127467,0.000127467,0.000127467
94,4427.78,0.76293,0.52459,0.92498,0.77801,0.77728,0.81934,0.62199,0.93204,0.56802,1.13615,0.00011332,0.00011332,0.00011332
95,4472.47,0.75712,0.52023,0.92148,0.76838,0.78382,0.8181,0.62329,0.92737,0.57867,1.13665,9.91726e-05,9.91726e-05,9.91726e-05
96,4517.96,0.76234,0.52708,0.92683,0.79304,0.77433,0.81989,0.62214,0.93287,0.57723,1.13649,8.50255e-05,8.50255e-05,8.50255e-05
97,4562.18,0.76192,0.52257,0.92396,0.77822,0.77992,0.82071,0.62452,0.92972,0.57711,1.13727,7.08784e-05,7.08784e-05,7.08784e-05
98,4607.05,0.75403,0.51983,0.92085,0.79559,0.77391,0.82144,0.62399,0.92831,0.57417,1.13833,5.67313e-05,5.67313e-05,5.67313e-05
99,4652.3,0.75501,0.51877,0.92111,0.78893,0.77458,0.82164,0.62459,0.9302,0.57649,1.13603,4.25842e-05,4.25842e-05,4.25842e-05
100,4696.75,0.75095,0.51624,0.91968,0.79612,0.76981,0.82066,0.62344,0.92705,0.57309,1.13726,2.84371e-05,2.84371e-05,2.84371e-05
