scenario_type,cars_N,cars_S,cars_E,cars_W,wait_N,wait_S,wait_E,wait_W,phase_flag,rush_flag,ped_flag,best_green_time
medium,1,1,1,1,3.0,1.0,1.0,2.0,0,0,0,10
medium,0,1,2,3,0.0,0.0,14.0,29.0,1,0,0,10
medium,0,1,1,2,0.0,6.0,3.0,3.0,0,0,0,10
medium,0,0,3,3,0.0,0.0,31.0,43.0,1,0,0,10
medium,1,0,2,0,8.0,0.0,2.0,0.0,0,0,0,10
medium,0,0,1,1,0.0,0.0,6.0,5.0,1,0,0,10
medium,0,1,1,1,0.0,6.0,1.0,0.0,0,0,0,10
medium,0,0,2,0,0.0,0.0,10.0,0.0,1,0,0,10
medium,1,0,0,1,6.0,0.0,0.0,0.0,0,0,0,10
medium,0,0,1,1,0.0,0.0,1.0,4.0,1,0,0,10
medium,0,1,1,1,0.0,5.0,0.0,0.0,0,0,0,10
medium,2,1,0,0,54.0,26.0,0.0,0.0,0,0,0,10
medium,2,4,1,1,48.0,88.0,1.0,3.0,0,0,0,10
medium,0,0,4,2,0.0,0.0,15.0,33.0,1,0,0,10
medium,1,1,2,1,5.0,2.0,13.0,1.0,0,0,0,10
medium,0,1,5,3,0.0,0.0,46.0,21.0,1,0,0,10
medium,1,1,1,0,5.0,6.0,0.0,0.0,0,0,0,10
medium,0,0,0,1,0.0,0.0,0.0,1.0,1,0,0,10
medium,1,1,0,0,6.0,1.0,0.0,0.0,0,0,0,10
medium,0,0,0,1,0.0,0.0,0.0,5.0,1,0,0,10
medium,1,1,1,0,4.0,6.0,1.0,0.0,0,0,0,10
medium,0,0,3,1,0.0,0.0,16.0,2.0,1,0,0,10
medium,1,1,2,0,6.0,1.0,2.0,0.0,0,0,0,10
medium,0,0,1,2,0.0,0.0,3.0,7.0,1,0,0,10
medium,1,1,0,0,6.0,5.0,0.0,0.0,0,0,0,10
medium,0,0,0,1,0.0,0.0,0.0,2.0,1,0,1,20
medium,0,0,1,0,0.0,0.0,1.0,0.0,0,0,0,10
medium,1,0,0,2,2.0,0.0,0.0,13.0,1,0,0,10
medium,0,0,0,1,0.0,0.0,0.0,22.0,1,0,0,10
medium,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,10
medium,2,0,0,2,2.0,0.0,0.0,12.0,1,0,0,10
medium,3,0,0,0,19.0,0.0,0.0,0.0,0,0,0,10
medium,3,1,0,0,115.0,26.0,0.0,0.0,0,0,0,10
medium,2,0,0,1,22.0,0.0,0.0,0.0,1,0,0,10
medium,4,0,1,0,37.0,0.0,1.0,0.0,0,0,0,10
medium,2,0,0,1,9.0,0.0,0.0,6.0,1,0,0,10
medium,4,1,0,2,49.0,6.0,0.0,22.0,0,0,0,15
medium,1,0,1,5,1.0,0.0,11.0,64.0,1,0,1,20
medium,6,0,1,1,102.0,0.0,1.0,2.0,0,0,0,10
medium,1,0,1,1,2.0,0.0,11.0,12.0,1,0,0,10
medium,3,1,0,2,31.0,6.0,0.0,6.0,0,0,0,10
medium,1,0,0,6,1.0,0.0,0.0,72.0,1,0,0,10
medium,2,1,1,1,22.0,4.0,0.0,2.0,0,0,0,10
medium,3,0,1,4,6.0,0.0,5.0,61.0,1,0,0,15
