timestamp,phase,signal_state,green_duration,WEST,EAST,NORTH,SOUTH,CENTER,wait_W,wait_E,wait_N,wait_S,vehicles_passed,avg_wait
2026-04-08_17-00-15,EW,ALL_RED,3,0,2,0,0,1,0.00,0.00,0.00,0.00,54,8.97
2026-04-08_17-00-18,NS,GREEN,10,0,2,0,0,1,0.00,0.00,0.00,0.00,54,8.65
2026-04-08_17-00-28,NS,YELLOW,3,0,2,0,0,1,0.00,20.12,0.00,0.00,54,8.84
2026-04-08_17-00-31,NS,ALL_RED,3,0,2,0,0,1,0.00,26.23,0.00,0.00,54,9.30
2026-04-08_17-15-43,NS,GREEN,10,0,1,1,1,0,0.00,0.29,0.00,0.00,0,0.14
2026-04-08_17-15-53,NS,YELLOW,3,0,2,1,1,0,0.00,14.45,0.00,0.00,18,6.88
2026-04-08_17-15-56,NS,ALL_RED,3,0,2,1,1,0,0.00,20.21,0.00,0.00,18,9.39
2026-04-08_17-16-00,EW,GREEN,10,0,2,1,1,0,0.00,0.00,0.00,0.00,18,10.86
2026-04-08_17-16-20,NS,GREEN,10,0,1,1,1,0,0.00,0.57,0.00,0.00,0,0.29
2026-04-08_17-16-35,NS,GREEN,10,0,1,0,1,0,0.00,0.54,0.00,0.00,0,0.27
2026-04-08_17-16-45,NS,YELLOW,3,0,2,1,1,0,0.00,13.60,0.00,0.00,10,6.81
2026-04-08_17-16-48,NS,ALL_RED,3,0,2,0,1,0,0.00,18.29,0.00,0.00,10,8.93
2026-04-08_17-16-52,EW,GREEN,10,0,1,0,1,0,0.00,0.00,0.00,0.00,10,9.86
2026-04-08_17-17-02,EW,YELLOW,3,0,1,0,1,0,0.00,0.00,0.92,10.13,19,8.38
2026-04-08_17-17-06,EW,ALL_RED,3,0,1,0,1,0,0.00,0.00,0.92,13.75,19,8.74
2026-04-08_17-17-09,NS,GREEN,10,0,1,0,1,0,0.00,0.00,0.00,0.00,19,9.19
2026-04-08_17-17-19,NS,YELLOW,3,0,1,0,1,0,0.27,11.98,0.00,0.00,29,8.31
2026-04-08_17-17-22,NS,ALL_RED,3,0,1,0,1,0,0.27,15.21,0.00,0.00,29,8.43
2026-04-08_17-17-26,EW,GREEN,10,0,0,0,1,1,0.00,0.00,0.00,0.00,29,8.91
2026-04-08_17-17-37,EW,YELLOW,3,0,0,0,1,0,0.00,0.00,0.00,11.64,33,8.20
2026-04-08_17-17-40,EW,ALL_RED,3,0,0,0,2,0,0.00,0.00,0.00,15.12,33,8.48
2026-04-08_17-17-44,NS,GREEN,10,0,0,0,1,0,0.00,0.00,0.00,0.00,33,8.96
2026-04-08_17-17-54,NS,YELLOW,3,2,1,0,1,0,2.24,4.50,0.00,0.00,42,8.26
2026-04-08_17-17-57,NS,ALL_RED,3,1,0,0,2,0,5.65,5.03,0.00,0.00,42,8.30
2026-04-08_17-18-00,EW,GREEN,10,1,0,0,2,0,0.00,0.00,0.00,0.00,42,8.54
2026-04-08_17-18-10,EW,YELLOW,3,1,1,0,1,0,0.00,0.00,0.00,11.77,49,8.33
2026-04-08_17-18-13,EW,ALL_RED,3,2,1,0,1,0,0.00,0.00,0.00,14.79,49,8.51
2026-04-08_17-18-16,NS,GREEN,10,1,1,0,1,0,0.00,0.00,0.00,0.00,49,8.78
2026-04-08_17-18-26,NS,YELLOW,3,0,1,0,1,0,10.88,10.10,0.00,0.00,57,9.03
2026-04-08_17-18-29,NS,ALL_RED,3,0,1,0,1,0,10.88,13.20,0.00,0.00,57,9.48
